script,ablation_name,seed,return_code,finished_at,duration_seconds,top1_cost,top1_nfev,top1_status,p,N_freq_fit,N_residual_dim,model_eval,residual_calls,objective_calls,T_fit_total,T_global,T_local,de_popsize,de_maxiter,n_starts,top_k,SSE_raw,RMSE_raw,AIC_raw,BIC_raw,n,gp_re_peak1_hz,gp_re_peak2_hz,gp_re_peak3_hz,gp_im_peak1_hz,gp_im_peak2_hz,gp_im_peak3_hz,gp_phase_peak1_hz,gp_phase_peak2_hz,gp_phase_peak3_hz,param_Csf,param_Csf0,param_Csw,param_Lad,param_Llr,param_Lls,param_Lm,param_Rcore,param_Rrs,param_Rsf,param_Rsw,param_nLls
ablation_ls_only.py,LS only,2,0,2026-03-27T18:46:48,75.109,2084.75,68,2,12,1590,3180,693,693,0,0.448,0.0,0.338,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,2,0,2026-03-27T18:48:38,110.172,1025.65,23,2,12,1590,3180,18537,18537,7440,11.588,1.451,10.008,10,60,120.0,10.0,43410200.0,116.837,30302.586,30375.361,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,7.37997e-09,6.46358e-10,1.25892e-07,0.0177424,0.0324586,0.0209495,5109.58,2800.0,27.4,14138.7,1.54478e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,2,0,2026-03-27T18:50:24,105.172,64596300.0,67,2,12,1590,3180,18405,18405,7440,24.508,1.616,22.724,10,60,120.0,10.0,123702000.0,197.231,33632.617,33705.392,3180,483000.0,27300.0,683000.0,36000.0,421000.0,25500.0,18300000.0,75800000.0,11700000.0,3.47815e-10,1.3741e-10,7.26627e-10,1.27101e-07,0.075323,0.0289806,0.028316,3502.39,1159.36,27.4,13416.8,1.67811e-09
CurVer.py,,3,0,2026-03-27T18:51:49,85.14,1540.1,32,2,12,1590,3180,16931,16931,7440,22.304,1.567,20.586,10,60,120.0,10.0,54507600.0,130.923,31026.504,31099.28,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46143e-10,7.12089e-09,6.33914e-10,1.28281e-07,0.0138016,0.0328823,0.0206862,5263.22,2800.0,27.4,14312.5,1.38458e-09
ablation_de_only.py,DE only,3,0,2026-03-27T18:53:04,75.125,98620.3,21840,True,12,1590,3180,21841,21841,21840,10.246,10.131,0.0,20,160,,,1140760000.0,598.941,40697.235,40770.011,3180,16200.0,11500.0,37300.0,44300.0,366000.0,518000.0,7710000.0,10900000.0,17700000.0,2.43576e-09,2.91117e-10,7.98124e-10,5.23745e-08,0.0089866,0.0412126,0.0276024,106.919,0.43662,20855.2,77314.6,2.60041e-11
ablation_ga_ls.py,GA + LS,3,0,2026-03-27T18:54:29,85.141,2084.75,48,2,12,1590,3180,7813,7813,7320,1.69,1.352,0.221,10,60,120.0,10.0,133512000.0,204.902,33875.309,33948.085,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,1.11712e-10,7.12276e-10,1.27482e-07,0.0585723,0.0292214,0.0302772,3475.56,903.604,27.4,13435.2,1.04413e-09
ablation_ls_only.py,LS only,3,0,2026-03-27T18:55:49,80.109,2084.75,68,2,12,1590,3180,693,693,0,0.457,0.0,0.301,10,60,120.0,10.0,133512000.0,204.902,33875.312,33948.088,3180,38600.0,483000.0,683000.0,436000.0,36000.0,4830.0,18300000.0,75800000.0,13000000.0,3.53466e-10,7.37938e-09,7.12277e-10,1.26673e-07,0.058568,0.0292213,0.0302785,3475.56,903.436,27.4,13435.2,1.78034e-09
ablation_no_freq_weights.py,No frequency weights,3,0,2026-03-27T18:57:24,95.204,1025.65,40,2,12,1590,3180,14045,14045,7440,13.81,1.42,12.248,10,60,120.0,10.0,43410100.0,116.837,30302.583,30375.358,3180,259000.0,31300.0,20700.0,34800.0,23800.0,308000.0,18300000.0,75800000.0,11700000.0,3.48332e-10,5.81538e-09,6.46359e-10,1.26334e-07,0.0177426,0.0324585,0.0209495,5109.55,2800.0,27.4,14138.7,1.12264e-09
ablation_no_reim_scaling.py,No Re/Im separate scaling,3,0,2026-03-27T18:59:04,100.156,37674600.0,48,2,12,1590,3180,17534,17534,7440,21.332,1.391,19.803,10,60,120.0,10.0,52793800.0,128.848,30924.912,30997.687,3180,278000.0,38600.0,11900.0,34800.0,319000.0,17400.0,18300000.0,75800000.0,13000000.0,3.59754e-10,8.98424e-11,6.32627e-10,1.27757e-07,0.0141994,0.0322553,0.0222068,5944.24,2800.0,27.4,14170.5,6.4636e-11
CurVer.py,,4,0,2026-03-27T19:00:30,85.172,1540.1,77,2,12,1590,3180,18262,18262,7440,23.199,1.412,21.655,10,60,120.0,10.0,54501900.0,130.916,31026.169,31098.944,3180,234000.0,38600.0,11900.0,196000.0,34800.0,308000.0,18300000.0,75800000.0,11700000.0,3.46142e-10,2.35496e-09,6.33916e-10,1.29582e-07,0.0138029,0.0328822,0.0206866,5262.89,2800.0,27.4,14312.5,5.87225e-11
